,id,dt_ocorrencia,uf,regiao,classificacao_da_ocorrencia
0,7762,2018-03-21,SP,Sudeste,Incidente
1,7759,2018-03-14,MG,Sudeste,Acidente
2,7758,2018-01-26,GO,Centro-Oeste,Acidente
3,7758,2018-01-26,GO,Centro-Oeste,Acidente
4,7757,2018-03-18,RS,Sul,Incidente Grave
5,5552,2009-07-07,PR,Sul,Acidente
6,5118,2006-10-13,ES,Sudeste,Acidente
7,7756,2018-03-18,PE,Nordeste,Incidente Grave
8,7755,2018-03-18,AL,Nordeste,Incidente Grave
9,7754,2018-03-17,SP,Sudeste,Incidente Grave
10,7754,2018-03-17,SP,Sudeste,Incidente Grave
11,7753,2018-03-16,SP,Sudeste,Acidente
12,5387,2002-08-20,Indeterminado,,Acidente
13,5665,2002-11-20,Indeterminado,,Acidente
14,7752,2018-03-16,SP,Sudeste,Incidente
15,7526,2017-09-20,MG,Sudeste,Incidente
16,7525,2017-09-21,MT,Centro-Oeste,Acidente
17,7524,2017-09-15,RJ,Sudeste,Ocorrência de Solo
18,7523,2017-09-17,SP,Sudeste,Incidente
19,7522,2017-09-15,RR,Norte,Acidente
20,7521,2017-09-11,SP,Sudeste,Incidente
21,7520,2017-09-11,SP,Sudeste,Incidente
22,7519,2017-09-07,PR,Sul,Incidente
23,7518,2017-09-05,PR,Sul,Incidente
24,7516,2017-09-02,MG,Sudeste,Acidente
25,7514,2017-09-11,SC,Sul,Incidente
26,7517,2017-08-02,PE,Nordeste,Incidente
27,7515,2017-09-06,MT,Centro-Oeste,Incidente Grave
28,7229,2017-02-07,RJ,Sudeste,Incidente
29,7228,2017-04-11,SP,Sudeste,Incidente
30,7227,2017-04-05,RJ,Sudeste,Ocorrência de Solo
31,7513,2017-09-08,PR,Sul,Incidente
32,7512,2017-09-03,SP,Sudeste,Acidente
33,7511,2017-09-06,MG,Sudeste,Acidente
34,7510,2017-09-07,MG,Sudeste,Incidente
35,7236,2017-05-04,MG,Sudeste,Incidente
36,7235,2017-04-23,RS,Sul,Acidente
37,7234,2017-04-20,BA,Nordeste,Incidente
38,7233,2017-04-14,MS,Centro-Oeste,Acidente
39,7232,2017-02-17,AM,Norte,Acidente
40,7231,2017-02-04,SC,Sul,Incidente
41,7230,2017-02-13,ES,Sudeste,Incidente
42,7226,2017-04-05,MG,Sudeste,Incidente
43,7225,2017-04-01,GO,Centro-Oeste,Acidente
44,7224,2017-02-06,SP,Sudeste,Acidente
45,7222,2017-01-23,DF,Centro-Oeste,Incidente
46,7990,2011-02-26,RJ,Sudeste,Incidente
47,7989,2011-03-01,RJ,Sudeste,Incidente
48,7223,2017-01-18,SP,Sudeste,Incidente
49,7221,2017-01-14,SP,Sudeste,Incidente
50,7993,2011-01-10,RJ,Sudeste,Incidente
51,7506,2017-07-03,GO,Centro-Oeste,Incidente
52,7992,2011-01-23,RN,Nordeste,Incidente
53,7991,2011-02-06,MT,Centro-Oeste,Incidente
54,7988,2011-03-26,RJ,Sudeste,Incidente
